sample start (ns), sample end (ns), package-0 (J), core (J), dram (J), amdgpu-pci-0300#power1_average (W), integrated amdgpu-pci-0300#power1_average (J),
1704475972133384518, 1704475972233677665, 0.583189, 0.234069, 0.110779, 6.000000, 0.600000, 
1704475972233677665, 1704475972332978632, 0.535766, 0.189147, 0.104736, 6.000000, 0.600000, 
1704475972332978632, 1704475972433390492, 0.576780, 0.222778, 0.109497, 6.000000, 0.600000, 
1704475972433390492, 1704475972533682222, 0.538756, 0.189087, 0.104614, 6.000000, 0.600000, 
1704475972533682222, 1704475972633172471, 0.533141, 0.182799, 0.105651, 6.000000, 0.600000, 
1704475972633172471, 1704475972733615417, 0.548705, 0.199707, 0.109070, 6.000000, 0.600000, 
1704475972733615417, 1704475972833037306, 0.531431, 0.184875, 0.104370, 6.000000, 0.600000, 
1704475972833037306, 1704475972933358944, 0.552001, 0.197753, 0.106078, 6.000000, 0.600000, 
1704475972933358944, 1704475973033729662, 0.567503, 0.218139, 0.105652, 6.000000, 0.600000, 
1704475973033729662, 1704475973133032814, 0.541991, 0.196777, 0.105957, 6.000000, 0.600000, 
1704475973133032814, 1704475973233419794, 0.619750, 0.266235, 0.113525, 8.000000, 0.800000, 
1704475973233419794, 1704475973333678181, 0.675718, 0.325378, 0.120117, 9.000000, 0.900000, 
1704475973333678181, 1704475973433023598, 0.667967, 0.323363, 0.114562, 9.000000, 0.900000, 
1704475973433023598, 1704475973533386891, 0.589781, 0.233337, 0.108582, 8.000000, 0.800000, 
1704475973533386891, 1704475973632669821, 0.569823, 0.223205, 0.109435, 7.000000, 0.700000, 
1704475973632669821, 1704475973732997860, 0.614867, 0.268371, 0.114319, 8.000000, 0.800000, 
1704475973732997860, 1704475973833226192, 0.649656, 0.292907, 0.114685, 9.000000, 0.900000, 
1704475973833226192, 1704475973933585763, 0.638365, 0.290221, 0.117736, 9.000000, 0.900000, 
1704475973933585763, 1704475974032979112, 0.681761, 0.337707, 0.114685, 9.000000, 0.900000, 
1704475974032979112, 1704475974133325089, 0.591857, 0.233825, 0.108398, 7.000000, 0.700000, 
1704475974133325089, 1704475974233682429, 0.549437, 0.199584, 0.107300, 7.000000, 0.700000, 
1704475974233682429, 1704475974333000277, 0.536619, 0.190552, 0.103271, 6.000000, 0.600000, 
1704475974333000277, 1704475974433401154, 0.572570, 0.218810, 0.110229, 6.000000, 0.600000, 
1704475974433401154, 1704475974532663116, 0.529356, 0.182800, 0.104736, 6.000000, 0.600000, 
1704475974532663116, 1704475974633033193, 0.539489, 0.190734, 0.107605, 6.000000, 0.600000, 
1704475974633033193, 1704475974733322838, 0.548033, 0.193908, 0.108947, 6.000000, 0.600000, 
1704475974733322838, 1704475974832752446, 0.525023, 0.178284, 0.103272, 6.000000, 0.600000, 
1704475974832752446, 1704475974933149339, 0.611082, 0.263671, 0.116821, 8.000000, 0.800000, 
1704475974933149339, 1704475975033482149, 0.791502, 0.435363, 0.115234, 9.000000, 0.900000, 
1704475975033482149, 1704475975132669511, 0.657103, 0.312255, 0.112182, 9.000000, 0.900000, 
1704475975132669511, 1704475975233002557, 0.833982, 0.480162, 0.132141, 9.000000, 0.900000, 
1704475975233002557, 1704475975333342166, 0.565612, 0.211425, 0.109985, 7.000000, 0.700000, 
1704475975333342166, 1704475975433701127, 0.557921, 0.209777, 0.105896, 7.000000, 0.700000, 
1704475975433701127, 1704475975533047612, 0.650694, 0.304260, 0.115905, 7.000000, 0.700000, 
1704475975533047612, 1704475975633416204, 0.568052, 0.213989, 0.106201, 6.000000, 0.600000, 
1704475975633416204, 1704475975732686192, 0.604125, 0.258483, 0.106445, 6.000000, 0.600000, 
1704475975732686192, 1704475975833068455, 0.560423, 0.211120, 0.108520, 7.000000, 0.700000, 
1704475975833068455, 1704475975933403661, 0.629271, 0.275817, 0.116882, 8.000000, 0.800000, 
1704475975933403661, 1704475976033667682, 0.701658, 0.350951, 0.115662, 9.000000, 0.900000, 
1704475976033667682, 1704475976132976415, 0.626891, 0.280578, 0.113097, 9.000000, 0.900000, 
1704475976132976415, 1704475976233379285, 0.662535, 0.307311, 0.116638, 9.000000, 0.900000, 
1704475976233379285, 1704475976333621286, 0.717832, 0.368774, 0.114807, 9.000000, 0.900000, 
1704475976333621286, 1704475976432869783, 0.677062, 0.330260, 0.113037, 9.000000, 0.900000, 
1704475976432869783, 1704475976533155842, 0.618834, 0.268249, 0.111450, 8.000000, 0.800000, 
1704475976533155842, 1704475976633522606, 0.625914, 0.271667, 0.116638, 9.000000, 0.900000, 
1704475976633522606, 1704475976732737811, 0.633909, 0.287353, 0.111999, 9.000000, 0.900000, 
1704475976732737811, 1704475976833079508, 0.649718, 0.300109, 0.112793, 9.000000, 0.900000, 
1704475976833079508, 1704475976933475596, 0.647459, 0.292418, 0.118591, 9.000000, 0.900000, 
1704475976933475596, 1704475977032661533, 0.671019, 0.324829, 0.114257, 9.000000, 0.900000, 
1704475977032661533, 1704475977133023005, 0.598448, 0.249999, 0.112427, 8.000000, 0.800000, 
1704475977133023005, 1704475977233369265, 0.726438, 0.370483, 0.118591, 9.000000, 0.900000, 
1704475977233369265, 1704475977333680516, 0.658934, 0.309996, 0.114501, 9.000000, 0.900000, 
1704475977333680516, 1704475977432978037, 0.644469, 0.299133, 0.112793, 9.000000, 0.900000, 
1704475977432978037, 1704475977533243860, 0.716917, 0.368041, 0.114746, 9.000000, 0.900000, 
1704475977533243860, 1704475977633516170, 0.720945, 0.362792, 0.112426, 9.000000, 0.900000, 
1704475977633516170, 1704475977732752897, 0.586669, 0.239379, 0.106018, 8.000000, 0.800000, 
1704475977732752897, 1704475977833087648, 0.611571, 0.263366, 0.116638, 8.000000, 0.800000, 
1704475977833087648, 1704475977933417478, 0.591368, 0.236999, 0.109924, 7.000000, 0.700000, 
1704475977933417478, 1704475978032688855, 0.593809, 0.247680, 0.110779, 7.000000, 0.700000, 
1704475978032688855, 1704475978133097979, 0.597777, 0.248962, 0.113403, 7.000000, 0.700000, 
1704475978133097979, 1704475978233471379, 0.608580, 0.255065, 0.114257, 8.000000, 0.800000, 
1704475978233471379, 1704475978332666158, 0.634398, 0.288269, 0.113525, 8.000000, 0.800000, 
1704475978332666158, 1704475978432994120, 0.630796, 0.283080, 0.117432, 8.000000, 0.800000, 
1704475978432994120, 1704475978533235751, 1.036741, 0.685240, 0.116210, 9.000000, 0.900000, 
1704475978533235751, 1704475978633553321, 0.639097, 0.284362, 0.117554, 9.000000, 0.900000, 
1704475978633553321, 1704475978732755441, 0.653319, 0.305419, 0.113830, 9.000000, 0.900000, 
1704475978732755441, 1704475978833122959, 0.574217, 0.223693, 0.106506, 8.000000, 0.800000, 
1704475978833122959, 1704475978933409589, 0.843748, 0.490111, 0.122009, 7.000000, 0.700000, 
1704475978933409589, 1704475979033687978, 0.795286, 0.442992, 0.113281, 7.000000, 0.700000, 
1704475979033687978, 1704475979133084708, 0.550841, 0.205200, 0.105346, 6.000000, 0.600000, 
1704475979133084708, 1704475979233439754, 0.558592, 0.204589, 0.107971, 6.000000, 0.600000, 
1704475979233439754, 1704475979332710637, 0.537169, 0.191711, 0.106567, 6.000000, 0.600000, 
1704475979332710637, 1704475979433114465, 0.579101, 0.229614, 0.105713, 6.000000, 0.600000, 
1704475979433114465, 1704475979533485319, 0.548765, 0.194641, 0.108154, 6.000000, 0.600000, 
1704475979533485319, 1704475979632733601, 0.532714, 0.186645, 0.102783, 6.000000, 0.600000, 
